Column1,Column2
2024년 11월 18일 오후 4:47,민수 : 다음주 정기모임 장소를 정해야 할 것 같아요
2024년 11월 18일 오후 4:48,영희 : 저는 강남역 근처 스터디카페 추천해요
2024년 11월 18일 오후 4:49,철수 : 강남은 멀어서요... 홍대 쪽은 어떨까요?
2024년 11월 18일 오후 4:50,민수 : 그럼 투표로 정하죠. 제가 폼 만들어서 공유할게요
,오늘 저녁까지 링크 올리겠습니다
2024년 11월 18일 오후 4:52,민수님이 수진님을 초대했습니다.
2024년 11월 18일 오후 4:53,수진 : 안녕하세요! 신입 회원입니다 잘 부탁드려요
2024년 11월 18일 오후 4:54,영희 : 환영합니다 수진님 :)
2024년 11월 19일 오전 9:10
2024년 11월 19일 오전 9:11,철수 : 모임 발표 자료는 누가 준비하나요?
2024년 11월 19일 오전 9:12,민수 : 제가 할게요. 금요일까지 초안 공유하겠습니다
2024년 11월 19일 오전 9:13,수진 : 혹시 주차 가능한 곳인지도 확인 부탁드려요
2024년 11월 19일 오전 9:15,영희 : 장소 확정되면 바로 공지할게요
2024년 11월 19일 오전 9:20,철수님이 나갔습니다.
